Q, A
나이 차이 많이 나는 남자 우째?, 사랑에 나이는 중요하지 않심니더.
나이 차이 많이 나는 여자 우째?, 사랑에 나이는 중요하지 않심니더.
나이 차이 많이 나는 짝녀한테 고백해도 될까?, 나이는 문제 될 기 아입니더.
나이가 많이 차이 나는 연애 우째 생각하노?, 연애에 나이가 대순가요.
나이가 어린데 연애를 해도 될까?, 사랑에 나이는 중요하지 않심니더.
나이 들수록 좋아하는 기 두려워지네요., 겁이 많아지니께요.
나이를 묵을수록 새로운 사람 만나는 기 두렵네., 두려워도 도전한 만큼 좋은 결과 있을끼라요.
나이트 갔는데 이상형 만났데이, 축하합니데이.
내한테 관심 없는 거 아는데도 포기가 안되네., 끝을 아는 것도 중요합니더.
내한테 관심 있는 기 맞을까?, 직접적이든 간접적이든 의사를 확실히 밝혀 보이소.
내한테 관심이 없는 거 같은데 와 끈을 못 놓노?, 그만큼 사랑했던 시간이 있으니께요.
내한테 너무 잘해줘서 이래도 되나 싶네, 존재 자체로 큰 힘이 되어주고 있나 봅니더.
내한테 뒷모습만 보여줬네, 이제 앞모습 볼 차례네예.
내한테 마음 떠난 사람이랑 계속 사귀기?, 사랑 받으면서 사시이소.
내한테 목적 가지고 접근한 거 같네, 상처 받으셨겠네예.
내한테 배려해줘서 나도 해주고 싶네, 보는 만큼 알게 되고 아는 만큼 좋아할 수 있고 좋아하는 만큼 배려해줄 수 있을끼라요.
내한테 잘해주는데 썸일까?, 호감이 있을 수도 있어요. 그치만 좀 더 상황을 지켜 보이소.
내한테 질리믄 어쩌지 걱정되네, 그대 겉모습이 아닌 진정한 내면의 모습을 보여 보이소.
내한테도 관심 있어 보이는데 연락해볼까?, 먼저 연락해 보이소.
내한테만 잘해주는 걸까?, 주변 사람들한테 물어보는 것도 좋을 거 같애요.
내 혼자 설레는 기 한심하네., 설레는 감정을 느끼는 그대가 부러워요.
내 혼자 설레발 치는 기 짜증나네., 짝사랑이 그런가봐요.
내 혼자 짝사랑하는 기 점점 현타 오네., 짝사랑이 힘들게 하나봐요.
난 금사빠라서 오랫동안 좋아하는 사람 보믄 신기하네., 대단한 일이지요.
난 남잔데 남자가 좋네., 동성애를 존중합니더.
난 여잔데 남자를 좋아하는 기 맞는지 모르겠네., 헷갈릴 때가 있지요.
날 사랑하는 이유가 뭘까?, 그대 존재 자체만으로 이유가 됩니더.
날 좋아하는 사람을 우째 하믄 나를 좋아하게 만들까예?, 그 사람이 좋아하는 것들을 알아보이소.
날 좋아하는 여자애가., 다른 사람을 좋아하게 되었는교.
날 좋아하던 남자애가 고백이 없는데 맘 접었는가?, 속 마음은 알기 힘들지요.
날 좋아하던 여자애가 반응이 없네., 마음을 접은 걸까봐 두려운교.
날 좋아한다는 남자애가 행동이 이상하네., 애매하게 행동하나봐요.
남녀 학벌 차이 많이 나믄 좀 그런가, 학벌 생각보다 별 거 아입니더.
남녀간의 소통의 중요성을 다시 한번 깨달았심니더., 서로 공감할 수 있는 이야기가 필요하지요.
남사친 좋아하는 내가 잘못이지., 잘못은 아입니더.
남사친이 나를 좋아하는 거 같은데 우짤꼬, 이성으로 한 번 생각해보이소.
남사친이 남자로 느껴질 때 있나?, 이성이니께 당연히 있지요.
남사친이 많은 썸녀, 나는 별로요.
남사친이 좋아졌네., 자연스러운 감정이라요.
남사친이 좋아졌으믄 우짤꼬?, 좋아진 이상 이성으로 다가가야지요.
남사친이라 쓰고 짝남이라 읽는다., 슬픈 이야기네예.
남사친이랑 사귀는 기 가능?, 가능합니데이.
남사친이랑 잘 맞아서 카톡이 안 끊기는데 이거 그린라이트일까?, 편한 친구일 수도 있으니 좀 더 지켜 보이소.
남사친인데 요새 관심 가네., 친구랑 썸의 중간인 거 같애요.
남자가 더 사랑해서 결혼하믄 잘 사나?, 잘 살 사람들이믄 뭘 하든 잘 살아요.
남자가 더 사랑해서 한 결혼, 누가 더 사랑하는지는 상관 없심니더.
남자가 돈을 더 써야 하는 기 일반적이가?, 상황에 따라 다르지요.
남자가 먼저 고백해야 하노?, 고백에 성별은 없지요.
남자가 여자를 좋아하는데 약속을 까먹을 수 있나?, 정말 바빴던 기 아니라믄 까먹지는 않을끼라요.
남자가 여자를 좋아할 때 하는 행동이 뭐가 있노?, 연락을 자주 하거나 잘 웃거나 등 다양한 행동에서 나타납니더.
남자가 좋아하는 음식이 뭐꼬?, 사람 마다 다릅니더.
남자는 먼저 고백하믄 관심 사라지나?, 이 무슨 이상한 소리고.
남자는 정말 사랑 없는 성관계 가능하나?, 남자든 여자든 다 가능하다고 봅니더.
남자는 좋아하는 여자랑 눈 마주치믄 우째 하노?, 당황해서 제대로 눈을 못 볼 거 같애요.
남자는 좋아하는 여자랑 약속 안 까먹겠지요?, 누구든 그럴끼라요.
남자는 첫사랑 못 잊나?, 여자도 첫사랑 못 잊어요.
남자는 호감 없으믄 연락 안 하나?, 귀찮으믄 연락 안 하지요.
남자들 직장 내에서 좋아하는 여자 있으믄 우째 하노?, 관심을 표현할끼라요.
남자들 진심으로 좋아하는데도 이래 행동할 수 있나?, 어떤 행동이냐에 따라 달라져요.
남자들은 관심 없으믄 보통 연락 먼저 안 하나?, 보통 그렇지요.
남자들은 몇 년씩 혼자 짝사랑 할 수도 있나?, 계속 엄청 좋아하는 기 아니라 좋아했는데 시간이 흐른 거지요.
남자들은 여자가 본인 좋아하는 거 눈치 못 채나?, 다 알고 있을끼라요.
남자들은 여자가 자기 좋아하는 거 알게 되믄 우째 하노? 싫지 않다면 받아주나?, 그분도 좋아한다면 받아줄끼라요.
남자들은 이쁜 여자만 좋아할까예?, 사람 취향 차입니더.
남자들은 좋아하는 사람한테만 잘해주고 그러나요?, 사람 마다 다르겠지만 좋아하는 사람한테 더 잘할끼라요.
남자들은 좋아하는 여자가 자기보다 능력이 좋은 경우에 아무리 좋아해도 마음 접고 포기하나?, 절대 능력만 중요하지 않심니더.
남자들은 좋아하는 여자한테 이럴 수 있나?, 어떤 행동이냐에 따라 다르겠지요.
남자들은 좋아하믄 무조건 답장이 빠른가요?, 답할 수 있는 상황이믄 빠르지요.
남자들 싫어하는 여자들 특징은 뭘까예., 솔직하지 않을 때를 고를 수도 있겠어요.
남자들 좋아하는 여자들 특징은 뭐꼬?, 사람마다 너무 다를 거 같애요.
남자랑 단둘이 술 마시는 여자친구를 이해해줘야 할까?, 이해하기 어려울 거 같애요.
남자에게 첫사랑이란?, 처음 한 사랑
남자친구 만나고 왔네, 즐거운 데이트였길 바랍니더.
남자친구 만들고 싶네, 남자친구가 있을 만한 곳으로 가보이소.
남자친구 말고 다른 남자도 궁금하네., 후회 안 할 자신 있나.
남자친구 부모님 만났는데 진짜 좋았네, 좋은 분끼리 만났나 봅니더.
남자친구 소개시키는 자리 내가 더 떨리네, 남자친구는 더 떨고 있을끼라요.
남자친구 스타일이 마음에 안 드네., 선물해주면서 조금씩 변화시켜 보이소.
남자친구 영장 나왔다 하네, 갑작스럽겠네요.
남자친구 오지랖 너무 많네, 좋은 오지랖이었으면 좋겠네요.
남자친구 이성친구가 많네, 사귈 때는 덜 만나라고 말해 보이소.
남자친구 자취 선물로 뭐가 좋을까?, 직접 물어보는 기 편할 거 같애요.
남자친구 카톡 말투가 마음에 안 드네., 마음에 안 드는 부분을 직접 말해 보이소.
남자친구 코 완전 높네, 멋진 사람이랑 사귀어서 좋겠네요.
남자친구 폰 봐도 되나, 궁금하다고 보고 싶다고 먼저 말해보는 기 좋을 거 같애요.
남자친구가 SNS에 나 안 올리네., 개인 성향 차이인 거 같애요.
남자친구가 갑자기 군대 간다 하네, 갑작스럽겠네요.
남자친구가 게임을 너무하는 기 고민이네., 같이 게임을 해 보이소.
남친이 기념일을 잘 잊어삐네., 특별한 알람을 맞춰 주이소.
남친이 기념일을 잘 잊어뿐다., 특별한 알람을 맞춰 주이소.
남친이 내 사랑할까?, 사랑하니까 만나겠지예.
남친이 나를 너무 애 취급하는 거 같음., 그대가 너무 귀여운가 봐요.
남친이 나를 더 좋아하게 할 수 있는 방법, 그대가 더 사랑을 표현해 보이소.
남친이 나를 떠날까 봐 고민이네., 괜한 걱정하지 마이소.
남친이 내를 너무 애 취급하는 거 같음., 그대가 너무 귀여운가 봐요.
남친이 내를 더 좋아하게 할 수 있는 방법, 그대가 더 사랑을 표현해 보이소.
남친이 내를 떠날까 봐 고민이네., 괜한 걱정하지 마이소.
남친이 나쁜 의도는 아인데 표현이 너무 서투네., 더 좋은 표현들로 천천히 고쳐나가 보이소.
남친이 나한테 너무 집착하네, 믿음을 주이소.
남친이 날 예뻐해 주는 기 느껴지네, 달달함이 여기까지 느껴지네요.
남친이 내를 예뻐해 주는 기 느껴지네, 달달함이 여기까지 느껴지네요.
남친이 내 편을 안 들어 주고 조언만 해주네, 아예 처음에 말할 때부터 조언이 아니라 귀 기울여주고 맞장구쳐 달라고 해 보이소.
남친이 너무 객관적이네., 좀 더 내 편이 되어달라고 해 보이소.
남친이 너무 국밥류만 좋아하네., 다양하게 묵자고 해 보이소.
남친이 너무 귀찮아하네., 사랑이 식은 건 아닌지 확인해 보이소.
남친이 너무 똑똑하네, 똑똑한 남친을 둬서 좋겠네요.
남친이 너무 바쁘다믄 헤어지는 기 맞을까?, 외로운 상태인가 봐요.
남친이 너무 소심하네, 직설적으로 통보하는 말보다는 좀 더 부드럽게 권유하고 물어보는 말을 해 보이소.
남친이 너무 잘해주네, 서로 더 많이 아껴 주이소.
남친이 너무 조급하네., 좀 더 여유를 가질 수 있게 응원해 주이소.
남친이 너무 좋네, 꿀 떨어지는 소리가 여기까지 들리네요.
남친이 누나가 두 명이라 그래서 결혼 걱정되네, 결혼은 현실이라요.
남친이 다른 여자들한테 인기가 많네., 인기 많은 남친이 있어 든든할 거 같애요.
담배 피우는 기 싫네., 금연 클리닉에 함께 가보이소.
남친이 데려다준다 카네, 매너 있네요.
남친이 데려다준다 칸다., 매너 있네요.
남친이 데이트 통장을 제안하는데 우째 생각하노?, 합리적인 소비가 가능할 거 같애요.
남친이 돈이 너무 없네., 정말 현실적인 문제네예.
남친이 되어 주이소., 네, 많은 이야기를 나눠 봐요.
남친이 마중 나온다 카네, 매너 있네요.
남친이 많이 묵어서 무한리필만 가네, 다른 데이트를 제안해 보이소.
남친이 말을 이쁘게 하네, 말도 이쁘게 하는 사람이네요.
남친이 묵는 거에 집착하네, 사람은 모두 집착하는 포인트가 달라요.
남친이 뭔가 수상한데 말을 안 하네, 말할 때까지 좀 기다려 주이소.
남친이 변해가는 거 같애., 변하는 걸 보는 기 힘들겠어요.
남친이 비꼬네, 성격이 꼬였는지 말투가 꼬였는지 살펴 보이소.
남친이 비혼주의라 카네, 고민이 많이 되겠네요.
남친이 사랑스럽게 쳐다보네!, 말 안 해도 눈빛은 수많은 말들을 담고 있지요.
남친이 살이 너무 쪘네, 같이 식단 조절을 해 봐요.
남친이 센 척하네, 귀엽게 봐주이소.
남친이 술만 마시믄 연락이 안 되네., 연락 안 되믄 걱정된다고 꼭 중간중간 연락 달라고 해 보이소.
남친이 술 묵으믄 개가 되네, 주사는 답이 없어요.
남친이 술자리를 너무 좋아하네., 함께 즐겨 보이소.
남친이 술주정 부리네, 포기하거나 이해하거나 둘 중 하나라요.
남친이 을 너무 좋아하네, 원치 않으믄 싫다고 말하소.
남친이 연락 안 하고 외박했네, 그대가 생각하는 그런 일은 없을끼라요.
남친이 연락이 너무 늦네., 바쁜 걸 이해해 보이소.
남친이 연락이 없네, 먼저 연락을 해 보이소.
남친이 연애하는데 가끔씩 막말을 하네., 막말은 진짜 아입니더.
남친이 외아들 홀시어머니라 결혼 고민이네, 결혼은 현실이라요.
남친이 유학 간다 카네, 기다릴 수 있을지 자신한테 물어 보이소.
남친이 있는데 다른 사람을 좋아하는 거 같애., 마음이 어디로 향하는지 제대로 살펴 보이소.
남친이 자존심이 너무 쎄네, 사랑한다면 자존심을 굽힐 줄도 알아야겠지요.
남친이 작은 일을 다 잊어삐네, 작은 일은 사소한 걸로 생각해서 금방 잊어삐나 봅니더. 중요한 일이라는 걸 인지시켜 주이소.
남친이 잘못을 해도 다 공감해 주는 기 옳은 걸까?, 공감을 해주면서 잘못을 고치도록 유도해 보이소.
남친이 잘생겨서 인기가 거의 아이돌급이네, 멋진 사람이랑 사귀어서 좋겠네요.
남친이 적극적이지가 않네., 적극적으로 리드해 보이소.
남친이 전역하더이 변한 거 같애, 상황이 생각을 바꾸게 하기도 합니더.
남친이 좋은데 눈치가 없네., 눈치는 선천적인 기라요.
남친이 좋은데 신뢰가 안 생기네., 시간이 좀 더 필요할 거 같애요.
남친이 준 생일 선물이 너무 마음에 안 드네., 안 준 것보다 낫지요.
남친이 진짜 잘 챙겨주네, 그대도 잘 챙겨 주이소.
남친이 질투를 안 하네, 보살인가 봅니더.
남친이 질투하는 기 귀엽네, 은근 기분이 좋지요.
남친이 집안일을 너무 안 하네. 나만 하는 기 고민이네., 집안일을 하나씩 분담해 보이소.
남친이 집 청소를 너무 안 하네., 같이 안 해 보이소.
남친이 짠돌이라서 돈 쓸 때 엄청 아까워하네, 성향이 다른가 봅니더.
남친이 첫사랑이네, 마지막 사랑이 되길 바랍니더.
남친이 충고만 해서 상처받네, 아예 처음에 말할 때부터 조언이 아니라 귀 기울여주고 맞장구쳐 달라고 해 보이소.
남친이 친구들이랑 여행을 가는데 여자도 있으믄 우짤꼬?, 같이 갈 수 있으믄 같이 가요.
남친이 카톡 답장이 너무 늦네., 자주 보라고 말해 보이소.
남친이 클럽을 간다믄 우째 하노?, 같이 가보이소.
남친이 키가 좀 작네, 키가 중요한 기 아입니더.
남친이 표현을 하게 하고 싶은데 방법을 잘 모르겠네., 작은 표현에 감동받았다고 해 봐요.
남친이 표현이 너무 없네. 너무 무뚝뚝하네., 표현 안 하믄 하나도 모르겠다고 해 보이소.
남친이 힘들어 하네, 진심으로 격려하고 함께 있어 주이소.
남친이랑 너무 좋은데 점 본 거에서는 만나지 말라 카네., 점보다 앞에 있는 사람을 믿어 보이소.
남친이랑 말이 안 통하네, 답답하겠네요.
남친이랑 말이 안 통하네, 서로 공통 관심사를 찾아 보이소.
남친이랑 멀리 떨어져야 할 거 같은데 우쩌지?, 멀리 떨어진다고 큰일 나는 건 아닌 거 같기도 해요.
남친이랑 스킨십하고 싶네, 대화를 하면서 속도를 맞춰 보이소.
남친이랑 와 맨날 싸우노?, "따로 살아온 삶과 습관, 성향이 다르기 때문일끼라요."
남친이랑 카페 가믄 뭔 얘기하노?, 못 만났을 때 있었던 이야기를 하지요.
남친을 믿는데 가끔 의심이 가네., 믿음이 흔들리고 있네요.
남친을 질리게 하는 행동들이 뭐가 있노?, 구속과 집착이겠지요.
남친 앨범 속에 안 지운 전 여자친구 사진 이해해야 할까?, 까묵고 안 지웠을 수도 있어요.
남친한테 고민이나 속사정을 어디까지 얘기하노?, 믿음의 정도에 따라 다른 거 같애요.
남친한테 시계 선물해주고 싶은데 어느 브랜드가 좋을까?, 나이대에 따라 추천 브랜드가 다를 거 같애요.
남친한테 적극적으로 표현할까 아니믄 도도하게 하는 기 좋을까?, 왔다 갔다 밀당해 보이소.
남친한테 힘들 때 우째 하노?, 의지하는 편이라요.
남친이랑 동거 해도 되는 걸까?, 사랑한다면 선택할 수 있겠지요.
남친이랑 방귀 언제 텄노?, 생리 현상은 늦게 트는 기 좋지요.
남친이랑 여사친이 너무 친하네, 사귀믄 좀 덜 만나는 기 예의일 낀데예.
남친이랑 여행 어디로 가노?, 안 가본 가까운 곳이 좋겠지요.
남친이랑 진도가 보통 우째?, 사람마다 다르겠지요.
남친이랑 첫키스는 언제 했노?, 뭔 이런 걸 물어보시나요.
남친이랑 카페 가믄 뭐 하노?, 수다 떨고 영화 보고 책 보기 등등 다양하게 할 수 있어요.
남친이랑 호칭을 뭘 쓰노?, 딱 생각나는 걸로 하이소.
남친의 감정 기복이 너무 심하네., 피해를 줄 때는 피하이소.
남친의 과거 어디까지 이해하노?, 아예 알려고 하지 않는 기 편한 거 같애요.
남친의 과거 동거를 이해해 줄 수 있나?, 이해하기 어려울 거 같애요.
남친의 성적 취향을 이해 못 하겠네., 대화를 해 보이소.
남친의 성적 취향을 이해 몬하겠다., 대화를 해 보이소.
남친의 스킨십이 너무 부담되네., 좀 더 편하게 생각해 보이소.
남친의 유머 코드가 너무 안 맞네., 맞는 사람을 만나 보이소.
남친 입 냄새가 고민이다., 가글 사 주이소.
남친 전 여친이 너무 이뻐서 비교된다., 전 여친 생각하지 마이소.
남친이 틀리는 맞춤법이 거슬리네., 지적하지 말고 맞는 걸로 계속 이야기해 주이소.
남친 학력이 너무 높아서 내가 부족해 보이네, 주눅 들지 마이소.
남친 혼전순결이 고민이네., 결혼합시더.
남친하고 커플티를 하고 싶은데 어디 거를 할까?, 좋아하는 브랜드가 좋겠어요.
남친한테 서운하네, 수천 번 생각해도 이건 아이다 싶으믄 서운하다고 이야기하이소.
남친한테 아무리 말해도 자기 말만 하네, 대화를 할 수 없겠네요. 부드럽게 요구해 보이소.
남친한테 안 설레네, 큰일이네예.
남친한테 정 떨어진 거 같애, 사랑하는 이유를 생각해 보이소.
남친한테 핸드폰 공개하나?, 공개하이소.
남친한테 핸드폰 공개하노?, 공개하이소.
남자한테 언제 설레노?, 그런 경우가 많겠지만 흘리는 말을 한 걸 안 잊고 기억해줄 때요.
남잔데 남자 좋아하네, 성적 자기 결정권이 있지요.
남잔데 남자를 사랑하는 거 같애, 사랑하는 방법은 다양하다고 생각해요.
남친 멀어진 거 같애, 나를 사랑하지 않는 사람하고 계속 가는 건 내 자신을 사랑하지 않는 사람들이나 하는 일이라요.
남친 생겼는데 호칭 우째 하노?, 딱 보믄 떠오르는 걸로 해 보이소.
남친 생겼는데 호칭 우예 하노?, 딱 보믄 떠오르는 걸로 해 보이소.
남친 생겼는데 호칭 우째 할까?, 딱 보믄 떠오르는 걸로 해 보이소.
남친 생겼는데 호칭 우예 할까?, 딱 보믄 떠오르는 걸로 해 보이소.
남친 연상인데 오빠라고 불러야 하노?, 호칭은 마음대로 골라 보이소.
남친 요구가 점점 심해지는 듯, 모두 맞춰줄 필요는 없어요.
남친 있는 짝녀가 친절한데 무슨 의미일까예?, 직접 의중을 확인하는 것도 방법이라요.
남친 있는데 다른 사람이 자꾸 눈에 들어오네., 상대방을 헷갈리게 하는 건 좋지 않아요.
남친 투정이 심하네, 대화를 통해 적절한 합의점을 찾아 보이소.
남친과 살아온 환경이 너무 다르네, 서로 인정하고 배려해 주이소.
남친에 대한 불신이 자꾸 드네, 믿지 못할 행동을 많이 했나 봐요.
남친이 나를 안 좋아하는 거 같은데 내가 붙잡고 있는 거 같애., 충분한 대화가 필요하겠어요.
남친이 나를 좋아하는 기 맞겠지?, 그래 생각하는 기 도움이 될 때가 있지요.
남친이 나보다 눈물이 더 많네, 감수성이 풍부한 사람이군요.
남친이 내 사진 프사로 안 하네., 각자의 프라이버시니께 이해해 주이소.
남친이 내 친구랑 연락하는 거 같애, 슬쩍 떠서 확인해 봐요.
남친이 데이트 시간을 자꾸 늦네., 잠이 많은 남친을 이해해 주이소.
남친이 사진 잘 찍었으믄, 계속 알려 주이소.
남친이 안 좋은 사이트를 하는 거 같애., 빠질까 봐 걱정된다고 말해 보이소.
남친이 워커홀릭이네, 일에 질투가 나겠어요.
남친이랑 대화가 잘 돼서 좋네, 말 통하는 기 중요하지요.
남친이랑 뭐하고 노노, 얼굴 보고만 있어도 좋지요.
남편 복 있다는 의미가 뭐꼬?, 남편 때문에 행복하다는 거 같애요.
남편은 진짜 남의 편인가?, 그대 편으로 만들어 보이소.
남편을 자꾸 무시하게 되네, 타인과 비교하지 말고 장점을 찾아 칭찬해 주이소.
남편이 게이였네, 엄청 놀랐겠네요.
남편이 나를 사랑한다 카네, 연애하는 느낌이네요.
남편이 날 사랑하지 않는 거 같애. 이혼해야 할까?, 현실적으로 생각해 보이소.
남편이 날 진심으로 사랑하는 걸까?, 남편을 의심하지 마이소.
남편이 내 의견 무시하네, 무시당하는 기분이 들어서 너무 외롭고 상처받게 된다고 차분하고 부드럽게 말해 보이소.
남편이 자꾸 만지네, 같이 만져요.
남편이 자꾸 만지네, 질 수 없지요.
남편이 축가 불러 준다 카네, 로맨틱한 남편이네요.
남편이 츤데레 스타일이네, 귀엽겠네요.
남편이 효자인 거 같애, 좋게 생각해 보이소.
남편한테 만족하나?, 그 중에 낫다 생각하고 사는 거지요.
남편한테 서운한 거 얘기해도 될까?, 수천 번 생각해도 이건 아이다 싶으믄 서운하다고 이야기하이소.
내 가치관이랑 다른 가치관을 가지고 있는 그 남자를 좋아하는 기 힘드네., 서로의 가치관이 평행선을 이루지만 않는다면 만날 수도 있을끼라요.
내 기준 괜찮은 사람 발견했는데 남친 있는지 물어봐도 되나?, 얼른 물어 보이소.
내 남사친이랑 잘되고 싶네. 그는 나를 여자로 봐줄까?, 이성으로 어필해야지요.
내 남자로 만들기, 사랑은 소유하는 기 아입니더.
내 마음 들킨 거 같애, 그래봤자 상대방이 더 좋아할끼라요.
내 마음 알면서도 모른 척하는 기믄 우짤꼬?, 그대 인연이 아닌가 보다 생각하이소.
내 마음에 온통 그대뿐이네, 올인은 좋은 기 아입니더.
내 마음을 보여주는 기 어렵네, 상대가 부담스러워하지 않게 나를 사랑하고 상대를 사랑해 주이소.
내 맘대로 안 되네., 나도 내 마음대로 되믄 더 바랄 기 없겠네요.
내 번호를 따간 사람이 내 친구가 좋아하는 애라네., 운명의 장난 같네요.
내 사랑이 부족한 걸까?, 더 노력해 보이소.
내 사랑이 있을까?, 눈을 크게 뜨고 잘 찾아 보이소.
내 아이돌이랑 연애해보고 싶네, 환상이 깨지믄 많이 슬플끼라요.
내 여자로 만들기, 사랑은 소유하는 기 아입니더.
내 여자하자., 나라도 괜찮나요?
내 와 좋아할까?, 그대 존재 자체만으로 이유가 됩니더.
내 이상형도 아인데 그 여자를 와 좋아하는지 모르겠네., 이상형은 이상형일 뿐이니께요.
내 이상형이 뭔지 모르겠네., 이상형이 꼭 있어야 할 필요는 없어요.
내 이상형이 아인데 그 남자를 와 이래 좋아할까., 이상형은 이상형일 뿐이니께요.
내 존재를 알리고 싶네, 우연을 가장해서 여러 번 마주쳐 보이소.
내 첫사랑이 날 기억 못 하네., 모든 기억은 같지 않으니 너무 실망하지 마이소.
내 친구가 내 짝남 욕을 계속 하네., 친구가 좋아하는지 모르고 있나 봅니더.
내 친구가 내 짝남 좋아하나?, 그리 느껴진다면 사실일지도 모르겠네요.
내 친구들이 다 별로라고 하는 짝녀 나만 좋다면 연락하는 기 맞을까?, 다른 사람들이 별로라고 말하는 이유를 생각해 보이소.
내 친구랑 내 짝남이 서로 좋아하는 거 같애., 안타까운 상황이네요.
내 친구랑 내 짝녀가 서로 좋아하는 거 같은데 나 우짤꼬?, 천천히 마음을 정리하는 기 필요하겠어요.
내가 그 사람을 좋아하는 건지 아닌지 착각이 드네., 확신이 안 설 때가 있지요.
내가 그냥 아는 여자라 카네?, 그런 남자 신경 쓰지 마이소.
내가 그냥 학교 후배라 카네, 그런 사람 신경 쓰지 마이소.
내가 그녀를 생각하는 만큼 그녀도 다른 사람을 생각하겠지., 그런 생각은 접어두는 기 맘 편합니더.
내가 그를 생각하는 만큼 그도 나를 생각할까., 내가 우째 생각하는지가 중요해요.
내가 그 사람한테 필요했으면 좋겠네, 사적 영역에 깊숙이 들어가 보이소.
내가 너무 기댄 거 같애, 상대방도 똑같은 인간이라는 걸 잊지 마이소.
내가 너무 몰아붙였나 보네, 좀 더 차분하게 생각할 시간을 주이소.
내가 너무 이기적이었네, 상대방도 똑같은 인간이라는 걸 잊지 마이소.
내가 너무 진지한 기가., 그래도 부담 안 주는 선에선 진중한 태도 참 좋지예.
내가 누굴 좋아하는지 헷갈리면 이상한 기가?, 확신 없으면 그럴 수도 있지예.
내가 누굴 좋아하는지 헷갈리믄 이상한 기가? 확신 없으면 그럴 수도 있지예.
내가 누굴 좋아하는지 헷갈리면 이상한 기제?, 확신 없으면 그럴 수도 있지예.
내가 누굴 좋아하는지 헷갈리믄 이상한 기제? 확신 없으면 그럴 수도 있지예.
내가 더 사랑할까?, 누가 더 사랑하는지는 중요하지 않아요.
내가 더 좋아하는 거 같은 느낌이네., 그래봤자 상대방이 더 좋아할끼라요.
내가 좀 더 좋아하는 거 같은 기분이네., 그래도 또 모릅니더. 그 사람도 마이 좋아할 끼라예.
내가 더 좋아하는 관계, 내가 더 좋아하든 덜 좋아하든 간에 상관없는 기라예. 서로 맴 가는 기가 중요하이소.
내가 더 좋아하는 관계, 내가 더 좋아하든 덜 좋아하든 간에 상관없는 기라. 서로 맴 가는 기가 중요하이소.
내가 더 좋아하는 관계, 내가 더 좋아하든 덜 좋아하든 간에 상관없는 기라. 서로 맴 가는 기가 중요하제.
내가 무의식 중에 무시하는 듯한 말투를 썼네, 상대방을 존중해 주이소.
내가 무의식 중에 무시하는 듯한 말투를 썼네, 내가 모르게 무시처럼 들릴 말투를 썼나 보네예. 상대방 존중해 주이소.
내가 사랑하는 사람이 나를 사랑했으믄, 그 사람도 혹시 맴이 있을지도 모르지예.
내가 사랑해도 될까?, 당연하지요.
내가 사랑했던 그 사람 맞나?, 사랑했던 그 사람의 다른 모습이 보인 기라요. 그 사람 맞아요.
내가 생각하는 것처럼 걔도 나 생각하나 싶네예.,  확신이 좀 없는 기 같네예.
내가 알던 사람이 맞는지 모르겠네예., 새로운 모습을 봤나 봐요.
내가 알던 사람이 맞는지 모르겠네예., 새로운 모습이 보여서 헷갈리나 보네예.
내가 싫은 건 그대도 싫어해 줘서 고맙네, 싫은 기 통해야 편하지요.
내가 썸 깨뿌긴 했는 데 연락하고 싶다 아이가., 감정에 확신 있으면 연락해보이소.
내가 여자를 좋아하는 줄만 알았는기라., 같은 여자를 좋아할 수도 있는 기라요.
내가 여친 전 남친보다는 능력 좀 모자라 보이제., 사람 보고 만나는 걸 테니 걱정 마이소.
내가 먼저 연락 끊었는 짝남한테 다시 연락 오게 하려면 우짜야 되노., 먼저 연락해서 대화를 이어나가는 기 수월해요.
내 평생 좋아하던 사람이 내를 몰라주네., 자기 존재를 알리는 기 우선이겠네요.
내가 이 사람을 사랑하는 기가?, 자꾸 생각난다면 그럴끼라요.
내가 좋대, 나도 좋아합니더.
내가 좋아하는 거 알았는데도 나를 대하는 기 변함이 없네., 친구로 지내고 싶은 기겠지요.
내가 좋아하는 거 알았는데도 내를 대하는 기 변함이 없네., 친구로 지내고 싶은 기겠지요.
내가 좋아하는 거 알았는데도 나를 대하는 기 변함이 없네., 친구로 지내고 싶은 거 아이가?
내가 좋아하는 거 알았는데도 내를 대하는 기 변함이 없네., 친구로 지내고 싶은 거 아이가?
내가 좋아하는 거 티내믄 싫어할까?, 부담스러울 수도 있겠어요.
내가 좋아한단 기 좀 티냈는데 그 사람은 아무 반응이 없더라예. , 서로 마음이 같았으믄 좋았을 낀데 안타깝네요.
내가 좋아한단 기 티냈는데 혹시 몰라챘을지도 모르겠네예., 못 알아차렸을 수도 있어요.
내가 좋아하는 남자를 만나는 기 낫나? 나를 좋아하는 남자를 만나는 기 낫나?, 그건 본인의 사랑 방식에 따라 다릅니더.
내가 좋아하는 사람보다 나를 좋아해 주는 사람 만나는 기 행복한 기라더이., 아쉬운 부분이 있나 봐요.
내가 좋아하는 사람이 내를 좀 신경 쓰게 만들고 싶은데 우째야 될지 모르겠네예, 질투를 유발해 보는 방법도 있다고 합니더.
내가 좋아하는 사람이 내를 좀 신경 쓰게 만들고 싶은데 우예야 될지 모르겠네예, 질투를 유발해 보는 방법도 있다고 합니더.
내가 좋아하는 사람이 내를 좋아하는지 안 좋아하는지 통 모르겠네., 주위에 물어보는 건 우짤까예.
